@relation 'letter_test_30pct.txt_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A17-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R11,16'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25}

@data
0.008267,0.021772,0.007914,-0.051569,0.02122,-0.024449,0.022587,0.018631,0.008189,0.022464,-0.018226,0.001167,0.011928,-0.002098,11
-0.062175,0.037798,-0.041729,-0.008342,0.033834,-0.081535,0.059958,0.063527,0.0069,0.067333,-0.068996,-0.061249,-0.025692,-0.007661,11
-0.034282,-0.001826,0.000618,-0.020488,0.029433,-0.011552,0.015213,0.001349,0.011095,-0.04232,0.024849,0.003557,-0.012319,0.004149,1
-0.000948,-0.014297,0.006347,-0.033872,-0.001509,0.002195,0.015035,-0.015907,-0.001851,-0.000303,0.019796,0.021084,0.020868,-0.003082,1
0.005875,-0.03274,-0.003711,-0.016276,-0.010331,-0.018017,-0.008883,0.03354,0.0313,-0.005489,0.024799,0.006787,-0.022984,-0.007377,14
0.006692,-0.002925,-0.021368,-0.025621,0.002745,-0.018068,0.003633,-0.002357,0.018754,-0.026921,-0.013113,0.001402,0.027816,-0.00137,9
-0.000033,0.003033,-0.037961,0.032251,-0.003729,0.028855,0.009234,-0.018728,0.050796,-0.000218,-0.032136,-0.034305,0.004052,0.037224,21
0.062641,0.008472,-0.038899,-0.01375,0.019954,0.018714,-0.020818,-0.007095,0.011503,-0.006149,-0.001051,0.01317,-0.013931,-0.017298,4
0.013221,0.023576,0.026756,-0.004084,0.027062,0.015771,-0.022483,-0.000675,-0.017834,-0.015157,-0.005534,-0.027037,-0.006369,-0.021061,6
-0.001893,0.015628,-0.04464,0.020843,-0.008573,-0.014854,0.000728,0.045269,-0.015013,-0.007719,-0.002557,0.02151,-0.031463,-0.04519,6
-0.008237,-0.034516,-0.039312,0.000174,0.006532,-0.019084,0.008299,-0.022906,-0.019605,-0.028399,0.000353,-0.020093,0.027489,0.007746,11
-0.046473,-0.045923,-0.012446,-0.037021,-0.074867,-0.048174,0.033729,0.016815,0.011938,-0.008525,-0.047984,-0.019845,0.004874,-0.04736,0
-0.003064,-0.002905,-0.002048,0.01424,0.001015,0.023699,0.029111,-0.029648,0.048415,-0.024179,0.003935,0.012632,-0.048419,0.010803,5
0.010706,-0.003107,0.030516,-0.040994,-0.042952,-0.020756,0.044222,-0.001834,0.018475,0.010431,0.007415,-0.050706,0.011765,-0.026855,0
-0.000621,-0.00952,-0.01149,0.014708,0.000005,0.021852,0.032458,-0.012291,0.031413,0.005809,-0.018717,0.065095,-0.029934,-0.01762,5
0.043662,0.009716,-0.01982,-0.024223,0.015803,0.031267,-0.013038,0.012535,0.02012,0.026324,-0.020947,0.013996,-0.017085,-0.013965,23
0.05532,0.005405,-0.0273,-0.024025,0.001759,0.033678,-0.010068,0.013,0.042474,0.016858,0.004648,-0.031533,-0.012423,-0.021701,10
-0.023347,0.024697,-0.064425,0.058196,0.042023,0.050368,0.002046,-0.026902,0.034226,0.005299,-0.055851,0.053769,-0.002343,0.019919,19
-0.009675,0.023202,-0.034486,-0.044324,-0.00177,0.00404,0.044765,0.006556,-0.052288,0.049604,-0.03668,-0.036116,-0.036235,-0.01769,11
-0.017064,0.03139,-0.010179,0.000787,0.045338,-0.020181,-0.012108,0.005621,0.013363,-0.016835,-0.016845,0.036906,-0.001237,0.013908,3
-0.033444,-0.004102,-0.020472,-0.040953,0.040595,-0.032568,0.009964,-0.058101,-0.014357,-0.025545,0.054866,-0.060822,0.054761,0.027345,10
0.034339,0.002244,0.023096,-0.023726,0.007615,-0.002248,0.011698,0.014316,0.001759,0.005847,-0.056393,-0.011466,-0.028434,0.043267,8
0.049646,0.027791,-0.001261,0.017894,-0.023879,0.017985,-0.007004,0.014572,-0.034081,-0.03476,0.010491,-0.019538,-0.027611,-0.031264,2
-0.014248,-0.025461,-0.034413,-0.042368,0.028399,-0.003669,-0.075897,0.015678,0.038636,0.001502,-0.008471,0.037206,0.013285,0.002358,12
-0.011228,-0.016748,0.013859,-0.035205,0.059974,0.017406,0.008014,-0.011009,0.003992,-0.055599,0.024925,-0.017253,0.020666,0.021389,3
0.002602,0.016024,-0.019214,0.015463,0.021164,-0.018197,-0.031406,0.013529,0.000319,-0.016515,-0.042432,0.029986,0.005185,-0.028342,14
0.019888,0.012898,-0.103936,0.016989,-0.027886,0.004153,-0.009161,-0.022627,0.034587,-0.015301,0.010106,0.000307,0.028233,-0.018777,23
0.042755,0.005063,0.022783,-0.014162,0.004268,0.008879,0.003867,0.021454,0.025268,-0.025639,0.019624,-0.018697,-0.00315,-0.015436,6
0.0092,-0.057555,-0.009126,0.005875,0.053234,-0.008386,-0.014183,-0.018231,-0.000388,-0.023955,0.018236,-0.033249,0.015261,-0.003583,18
-0.03635,0.001847,-0.01632,0.01,0.006457,0.011868,0.031459,-0.043028,0.03182,-0.023984,-0.009837,0.068423,-0.007563,-0.010502,15
-0.0016,-0.004292,0.057567,0.042718,-0.013284,0.014849,0.048132,-0.009899,0.019125,0.016019,-0.017467,0.01437,0.044531,-0.064413,8
-0.012666,-0.012158,-0.012008,0.00018,0.00441,-0.01134,0.021678,-0.022806,-0.007702,-0.018918,0.002983,0.031148,0.024142,-0.003587,1
-0.051838,0.051215,-0.020492,-0.027578,0.041505,-0.047775,0.068543,0.058497,0.011518,0.055413,-0.015341,-0.07818,-0.039696,0.00847,11
-0.003461,-0.00192,-0.038311,-0.03944,-0.035249,0.062698,-0.049261,-0.026746,-0.018761,-0.027239,-0.086928,-0.000107,-0.008584,0.071539,19
0.00265,-0.001416,0.018259,-0.047485,-0.007532,0.004023,0.004732,-0.003714,-0.010581,0.009888,-0.011775,0.053769,-0.010159,0.005983,17
0.026242,-0.002096,-0.025521,-0.015914,-0.006978,0.012134,0.006636,-0.014186,0.00195,0.011953,0.014853,0.011381,-0.006083,-0.015783,4
0.03,0.003621,-0.01424,-0.05315,0.000913,0.001712,-0.062712,-0.030559,0.053348,0.012469,0.015673,-0.031905,0.020352,-0.00912,12
0.041662,-0.014081,0.00159,-0.016978,0.000419,0.021243,0.006216,-0.002014,0.00497,0.013431,0.003877,0.007787,-0.001348,-0.01131,4
-0.020121,-0.021856,-0.024679,-0.018194,0.011632,0.010508,0.004424,0.011244,0.014018,-0.027049,0.016542,0.004328,-0.021179,0.002516,13
-0.017973,0.035124,-0.05129,0.01371,0.015178,0.038237,-0.027394,-0.038307,0.00971,0.025867,0.001759,-0.016483,-0.014578,-0.016475,20
0.009482,-0.036677,0.020301,-0.00464,0.045698,-0.009065,0.00569,0.018164,-0.008558,-0.058267,-0.019247,0.005867,0.014673,-0.014634,18
-0.00229,-0.001528,-0.027362,0.032554,-0.007298,0.037683,-0.010203,-0.017025,0.04637,-0.008641,-0.039659,-0.017553,-0.001665,0.031011,21
0.008277,-0.015109,0.029038,0.010561,0.002194,0.006957,-0.02196,0.000576,0.031053,-0.013034,-0.023379,-0.038778,-0.022217,-0.026907,23
-0.053935,0.024167,0.055621,-0.023036,0.021785,0.035767,0.027767,-0.039237,-0.047527,-0.023209,0.025035,-0.03835,-0.028405,0.022963,17
0.005717,-0.000172,-0.033001,-0.03237,-0.01383,0.049865,-0.033491,-0.035354,0.004767,-0.023509,-0.069922,-0.003973,-0.013147,0.064677,19
0.064678,0.028644,0.041475,0.022539,-0.075677,-0.068849,0.01533,-0.089859,-0.040068,0.01807,-0.039419,0.055524,-0.022251,-0.00761,9
0.002346,0.016152,-0.016382,-0.022226,0.028353,0.036917,-0.011106,-0.029073,0.020294,-0.011383,-0.009815,-0.005807,0.007589,-0.002035,18
0.022662,0.001962,0.023465,-0.000954,0.001866,-0.011666,0.006059,-0.001529,0.009423,-0.029403,-0.00596,0.007473,-0.011388,-0.002633,14
0.057594,0.016916,0.009876,-0.03035,0.012483,0.036887,0.023977,-0.010587,0.019332,0.015785,-0.001031,0.017608,-0.028984,0.010311,8
-0.045164,-0.008031,-0.002745,-0.023101,-0.029293,-0.019215,0.001218,0.01066,0.029117,0.008555,-0.018918,0.092152,-0.014328,-0.039097,13
-0.041547,-0.001687,0.031665,0.034932,0.027241,0.047448,0.01204,0.007239,0.01739,0.00319,-0.036878,0.004411,0.015183,-0.032274,14
0.0085,0.015076,0.000355,0.005241,-0.007312,-0.005491,-0.017258,0.016271,-0.004279,-0.022662,0.002943,-0.020119,-0.009848,-0.032844,6
0.009691,0.012307,-0.052295,0.023315,-0.026241,0.02567,0.008818,0.041844,0.010911,-0.037756,-0.007899,0.031649,-0.031336,0.031018,19
-0.030151,0.027904,-0.048332,-0.017423,-0.010904,0.020667,0.009605,-0.048349,0.005856,-0.02565,0.050163,0.000732,-0.00276,0.01743,7
-0.026356,0.021289,0.017525,0.006983,0.05835,-0.007614,0.037596,-0.02506,-0.022309,-0.030748,0.036157,-0.019956,0.005289,0.036651,1
0.013147,0.003277,-0.016877,-0.002549,0.011863,-0.041868,-0.018188,0.022185,-0.009219,-0.045675,-0.020808,0.002675,0.040565,-0.035568,6
0.004817,-0.046188,0.016223,0.007615,-0.026167,-0.007128,-0.005235,0.00017,-0.026112,-0.038798,-0.018853,-0.038303,-0.026407,0.014309,16
-0.033886,0.02806,-0.052277,0.001911,-0.006398,-0.025553,0.002608,0.001125,-0.007357,-0.014769,-0.00665,0.00547,0.015427,-0.009176,6
-0.008106,0.010164,-0.000134,-0.007507,0.012177,0.040232,0.015961,-0.0281,0.05481,-0.012896,0.010146,0.02552,-0.030401,0.007648,5
-0.043102,-0.018967,-0.016315,-0.011997,-0.02985,-0.010624,0.001234,0.01011,0.02916,0.015159,-0.023143,0.085648,-0.03039,-0.031693,13
0.020503,-0.002604,-0.002191,0.014946,0.043071,-0.034507,0.014797,0.035881,0.00876,-0.042715,0.01294,-0.012316,0.008262,-0.002959,1
-0.0142,0.034179,-0.006404,-0.006297,0.014285,0.009528,-0.009882,-0.003869,-0.000106,-0.010797,0.009642,0.003743,-0.018713,0.002502,7
0.018083,-0.038038,-0.044287,-0.000591,0.028926,-0.003787,-0.000215,0.024236,0.032482,-0.008309,-0.021953,0.031725,-0.011277,0.0146,15
-0.016287,-0.000806,-0.036777,0.037177,0.020257,0.040047,0.012678,-0.020904,0.04885,-0.02131,-0.028566,0.029454,-0.029773,0.022286,19
0.023357,-0.002624,0.03161,-0.015184,0.00521,0.003392,0.038072,0.031632,-0.00121,0.018256,-0.101281,-0.011677,0.016953,0.051423,8
-0.008929,0.013675,-0.008566,0.009269,0.034337,0.059549,0.001789,-0.004824,0.065112,-0.026532,-0.019856,0.030505,-0.02561,0.013111,19
-0.029826,0.006816,-0.046278,-0.009739,-0.088824,0.040207,-0.00979,0.041174,-0.008177,-0.076492,-0.066226,-0.002709,0.036953,0.053558,24
-0.00698,0.027271,-0.033157,-0.040692,-0.00949,-0.015838,-0.047018,-0.038438,0.00147,0.021154,0.033197,-0.014694,-0.005001,0.027455,12
-0.035958,-0.003956,-0.055167,0.008875,0.012603,-0.012713,-0.006069,-0.016025,-0.009637,-0.07734,0.012933,-0.010301,0.064449,0.016246,24
-0.008067,0.00096,-0.017835,0.019359,-0.009046,0.049594,-0.01843,-0.017309,0.041005,-0.021672,-0.016461,-0.01214,-0.030588,0.018538,21
-0.041186,-0.02651,-0.036521,0.006731,-0.056848,0.041679,-0.049387,0.032978,0.036677,-0.002238,-0.014519,0.012584,-0.051297,-0.004095,22
0.026203,0.018338,-0.026324,0.010169,0.018541,0.022745,-0.008111,-0.081414,0.008644,-0.012214,-0.021929,-0.051735,-0.045106,0.044078,5
0.001999,0.016674,-0.007032,-0.016391,0.010678,0.00323,0.004087,-0.026601,-0.000722,-0.017481,0.008369,-0.038407,0.016126,0.021346,6
-0.011084,-0.013669,0.006316,-0.025197,0.014247,-0.018179,0.001181,0.00385,-0.006083,-0.035838,0.015832,-0.030285,0.008478,-0.014981,7
-0.004052,-0.058378,-0.025369,0.009255,0.017451,0.004972,-0.012338,-0.022747,-0.013255,-0.024711,-0.01172,-0.001241,-0.023648,-0.013316,5
0.016135,-0.019476,-0.017397,-0.019901,-0.010547,0.00612,-0.03206,-0.000794,0.041265,0.016823,-0.028203,0.0237,-0.027614,-0.020383,13
-0.081546,0.010354,-0.038313,0.065396,-0.030884,0.03804,0.006675,0.000855,0.03453,0.024433,-0.005834,0.010265,0.056552,-0.052665,7
0.001734,0.03075,0.012707,-0.002312,0.054871,0.011114,-0.023055,0.014264,0.035084,-0.003471,-0.02009,0.008637,-0.017339,0.003386,3
-0.010295,-0.009105,-0.006147,-0.009098,0.01215,0.021285,0.010947,-0.044321,0.041539,0.008659,0.000703,0.050749,-0.006899,-0.009934,5
0.048354,0.008543,0.025325,-0.039222,-0.000513,0.019572,0.014206,-0.020946,-0.009309,0.033574,-0.026905,0.038742,-0.031415,0.007549,9
0.013852,-0.045256,-0.017839,-0.038972,0.039291,-0.013369,-0.010724,0.005139,0.000867,0.004062,0.038347,-0.032951,-0.000944,-0.02247,10
0.019057,0.005088,-0.031494,0.074025,-0.052295,-0.014972,0.044939,-0.023481,-0.036988,0.006898,0.015677,0.02822,-0.036859,-0.042923,6
-0.024144,-0.004766,0.008995,-0.018019,0.023504,-0.017482,0.007068,-0.014736,0.010603,-0.052394,0.049305,-0.016293,0.013968,-0.012003,17
-0.003963,0.000612,0.056116,0.022737,-0.000192,0.031189,0.033293,-0.021904,0.01628,0.023788,-0.023684,0.004696,0.045564,-0.060678,8
0.026672,0.036924,-0.004299,0.000497,0.027046,0.040152,0.018199,-0.028141,0.032667,-0.020619,-0.002213,-0.055706,-0.012136,0.01232,5
0.042825,-0.007306,-0.008667,-0.023125,0.021053,0.023663,-0.001757,0.003105,-0.025737,0.025568,-0.056084,-0.017315,-0.024024,0.030921,8
-0.035806,-0.053487,-0.059056,0.096155,0.018342,0.000202,-0.01774,-0.043204,0.020478,0.022273,-0.096578,-0.030637,0.020409,0.044928,24
0.026395,0.00272,-0.030013,0.022605,-0.014136,-0.039759,-0.017899,-0.009335,-0.056428,-0.01161,-0.022852,-0.006674,-0.019159,-0.036873,6
0.001475,0.040345,-0.051096,0.04907,-0.011388,0.010762,-0.012377,-0.063454,0.044068,0.008179,-0.007083,0.000068,-0.009249,-0.002547,20
0.076981,0.039173,0.000124,-0.008754,-0.072998,-0.031826,0.026388,-0.062025,0.011626,-0.016519,0.037335,-0.021394,0.016993,-0.014181,9
-0.059079,0.051723,-0.025926,-0.030591,0.027632,-0.051202,0.081067,0.057358,-0.015197,0.064509,-0.029017,-0.065741,-0.040919,0.011554,11
0.017362,-0.038515,0.022459,0.02374,0.041819,-0.002571,0.000609,-0.001405,-0.005201,-0.041652,-0.022421,-0.013862,0.01721,-0.041447,18
-0.008243,-0.016893,0.040602,0.008192,0.010999,0.034965,-0.006668,-0.028193,0.008922,0.026999,-0.023505,-0.013178,0.060905,-0.059135,1
-0.048184,0.055542,-0.06861,-0.046542,0.041787,-0.072579,0.027394,0.074251,-0.01508,0.032627,-0.063867,-0.007252,-0.015647,-0.013271,11
-0.031981,0.035054,-0.037305,-0.028878,0.030629,-0.07553,0.064969,0.072317,0.021509,0.049514,-0.023527,-0.072813,-0.03327,-0.007439,11
-0.015344,-0.045694,-0.057588,-0.021566,0.011883,-0.011104,-0.048731,0.000577,0.029154,0.02856,0.050393,0.021484,-0.054301,-0.011217,12
-0.057604,-0.045048,-0.0222,0.013834,-0.009561,0.014606,0.014061,-0.007575,-0.029821,-0.075159,-0.003697,-0.002396,0.020877,-0.03078,25
-0.064095,-0.005456,0.02639,-0.036663,-0.073836,-0.020122,0.065344,-0.012945,0.004228,-0.00631,0.001039,-0.011866,0.002757,-0.009503,0
-0.003307,0.005163,-0.000721,-0.022411,0.011625,0.004196,-0.029439,0.019991,0.023316,-0.002059,-0.031184,0.023493,-0.025638,0.004628,13
-0.036746,-0.01935,-0.047696,0.034904,-0.016254,0.043526,0.004591,-0.029608,0.045311,0.049151,-0.007366,-0.031272,-0.049483,0.024385,22
-0.004516,0.015,-0.005865,-0.015445,0.01258,0.003082,0.001654,-0.001,0.016979,-0.012105,0.008891,0.025361,-0.010611,-0.007885,3
0.032619,-0.005517,-0.019842,-0.015424,-0.001755,0.020958,-0.005843,-0.00261,0.003021,0.016405,-0.002939,0.024206,-0.007477,-0.034212,4
0.006646,-0.006945,-0.02869,-0.016414,0.020023,0.013937,-0.007573,-0.025881,0.013051,-0.004073,-0.028727,0.007062,0.033108,0.000708,18
-0.015964,-0.000116,-0.026918,-0.002165,-0.001747,-0.012392,0.011668,-0.019867,-0.005964,-0.027476,0.019094,0.040804,0.021432,-0.019201,1
-0.000339,0.006243,-0.072526,0.041308,0.01112,0.025007,0.046389,-0.015254,0.033416,0.014721,-0.016616,-0.028298,0.00248,0.042979,24
-0.00115,-0.052,-0.021044,-0.000271,0.004557,0.009214,-0.007684,-0.020761,-0.00501,-0.038772,-0.02783,-0.001764,-0.025763,0.008071,5
0.003588,0.015191,-0.049788,0.003131,-0.014619,0.042811,-0.012236,0.033761,0.008493,-0.037607,-0.024012,0.044505,-0.016722,0.040725,19
0.012176,-0.035312,-0.018074,0.026187,0.063635,-0.054878,-0.002517,0.018258,-0.010771,-0.042595,-0.022821,-0.00208,0.045262,-0.028644,1
-0.017632,0.0106,0.028777,0.029705,-0.012505,-0.058609,-0.061886,-0.012159,0.011829,-0.024092,-0.04179,0.015016,-0.062452,-0.007638,13
0.034926,0.003487,-0.018198,-0.015112,-0.004732,0.020487,0.001512,0.002142,0.002658,0.007791,0.008075,0.014839,-0.01201,-0.044033,4
-0.016453,0.037822,-0.00139,0.001274,0.01768,0.011775,-0.02165,-0.020278,-0.005588,0.000155,0.019089,-0.001568,-0.033798,0.004509,7
0.01456,-0.070242,-0.018883,-0.032265,0.02423,-0.039617,-0.054633,-0.005351,0.039818,-0.000299,-0.007413,-0.002716,0.009766,0.01728,22
-0.037212,0.046706,0.015296,-0.023056,0.009552,0.034857,-0.018737,-0.062927,-0.037513,0.011784,-0.012073,0.030919,0.014512,-0.047615,18
0.012486,-0.002963,0.005581,-0.019938,-0.004285,-0.011961,0.032314,0.005437,0.00535,-0.006378,0.024837,0.030464,0.009126,-0.005745,1
-0.011639,-0.06235,-0.049913,0.038396,-0.009614,-0.022537,0.007746,0.000399,0.007437,0.004122,0.017668,0.017948,-0.055823,0.034683,15
-0.041908,0.062249,-0.007202,-0.040191,0.058835,-0.021035,0.023209,0.049413,0.026614,0.031671,-0.02679,-0.036838,-0.017575,0.012939,11
-0.042312,0.025919,0.036005,0.027138,-0.013284,-0.038183,0.000403,-0.000527,0.013666,-0.025494,-0.008406,0.016122,-0.045661,0.021165,13
0.031351,-0.041873,0.024268,0.025058,0.009145,0.009154,0.01543,0.017932,0.032571,0.002244,-0.021872,-0.023364,-0.003341,-0.043372,14
0.002534,-0.024672,0.012865,0.011276,0.023225,-0.00311,0.041187,0.002381,0.04642,-0.023127,0.003355,0.040027,-0.032194,-0.005104,15
0.067564,0.004813,-0.000315,-0.030951,0.010034,0.022428,0.030442,-0.006985,0.020086,0.030731,-0.011466,0.015636,-0.018805,0.016101,8
-0.006664,-0.045993,-0.036899,-0.013947,-0.013369,0.019578,0.025632,-0.005253,0.0494,0.002153,0.001976,-0.017651,-0.041234,0.021764,5
0.028044,-0.027065,0.021111,-0.004228,-0.021576,0.013413,0.006844,0.017224,0.01267,-0.030035,-0.007359,-0.021442,-0.019343,-0.002215,16
-0.052793,0.011947,0.011865,0.007573,-0.012327,0.007858,0.061408,0.011894,0.00195,0.055758,-0.027752,-0.018547,0.074864,-0.046802,18
0.009222,-0.0712,-0.0315,0.008856,0.012138,0.009079,0.018256,0.049241,-0.044614,-0.020469,-0.005,0.002048,-0.004809,0.015301,11
0.013361,-0.05134,-0.055489,0.067206,0.022207,0.011101,0.025618,0.029207,-0.024508,-0.024613,0.002604,0.021692,-0.0414,-0.01462,19
0.026758,0.019006,-0.028971,0.006504,0.034415,0.026231,-0.007728,0.028025,-0.035262,-0.032714,-0.003505,0.014226,0.002415,-0.018977,25
0.023617,-0.001159,0.019224,-0.006081,0.020937,0.035641,0.027455,0.000009,0.052493,-0.003455,0.008393,0.021299,-0.018283,-0.00932,5
0.008108,-0.008517,-0.002524,0.009726,0.015636,-0.023418,-0.016701,-0.034369,0.01871,-0.029264,-0.019151,0.008451,0.036092,-0.001437,14
0.000995,-0.006017,-0.027683,0.005961,-0.001902,0.0257,0.038834,-0.015348,0.035656,-0.000047,-0.003061,0.034086,-0.02084,0.009012,5
0.018123,-0.034455,0.009662,-0.013161,-0.028353,0.017048,-0.028895,0.033991,0.0662,-0.005802,-0.018372,-0.033253,-0.029035,-0.009451,22
-0.008883,-0.040495,-0.026916,-0.003826,-0.054545,-0.003502,-0.050198,0.029676,0.066078,0.003123,-0.030721,-0.003669,-0.015141,-0.030356,22
0.000962,0.010251,-0.014155,0.003757,0.020184,-0.012166,-0.031398,0.006416,-0.020705,-0.02531,-0.037162,0.000403,0.032187,-0.030154,6
-0.039396,-0.020853,-0.049033,-0.016823,0.018798,-0.00984,-0.072059,-0.004374,0.026882,0.011523,-0.003021,0.049835,-0.007776,0.010601,12
0.027573,0.001374,-0.023319,0.004407,0.049312,0.007277,-0.033122,0.000203,-0.031239,-0.015402,-0.025611,-0.003341,-0.015442,-0.014934,25
0.024221,0.026929,-0.00347,0.030532,-0.009798,0.00167,0.030081,-0.014432,-0.0161,-0.010734,0.0134,-0.009953,-0.000882,0.001739,6
-0.09854,0.000915,-0.070467,-0.000168,-0.0361,0.039725,-0.077049,-0.000459,0.063867,0.017853,-0.030182,0.017216,0.052599,-0.02167,22
0.021863,0.015265,-0.041101,0.001879,-0.006754,0.048618,-0.006933,0.043734,-0.001795,-0.02214,-0.033238,0.023407,-0.017391,0.051146,19
-0.008021,-0.031051,0.012053,0.010943,-0.035161,-0.001646,-0.006887,0.005328,-0.050255,-0.054235,-0.013174,-0.028943,-0.013324,0.010456,16
-0.040521,-0.005727,0.01127,-0.055873,0.023291,0.031635,-0.036056,-0.032887,-0.030151,-0.01033,-0.0268,-0.02142,0.017695,-0.003596,17
0.001257,-0.037149,0.018867,0.038735,0.010632,0.03565,0.032554,-0.010817,0.014021,-0.010928,-0.004377,-0.028267,0.029339,-0.047272,4
-0.056523,0.041452,0.04216,0.060169,-0.046308,-0.060095,-0.015709,-0.059766,0.014024,-0.050912,-0.009232,-0.008024,-0.045692,-0.011727,7
0.002496,0.044043,-0.025484,-0.010966,0.002019,-0.020764,0.000375,0.01229,-0.008772,-0.022614,0.025763,0.01832,0.004489,0.009034,7
0.047826,0.01348,-0.05688,-0.000997,0.000004,0.029842,-0.011335,-0.001282,0.02952,-0.010613,0.004846,-0.000217,-0.004676,-0.010651,23
