@relation Bank_training_70pct.txt-weka.filters.unsupervised.attribute.RandomProjection-N11-R1-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute y {0,1}

@data
-1.008873,-1.06604,6.61632,-0.348212,9.243102,2.570244,5.08494,7.689239,-11.478659,-3.037301,-7.152965,0
-1.451863,-0.261139,7.930775,-4.360433,20.756347,-1.474933,-0.777498,2.650784,-10.421633,2.217712,-6.675402,1
-5.891641,-16.043378,-5.282513,2.588173,11.400601,0.426752,11.840829,-1.461758,-3.974045,0.917655,-14.58139,0
-0.336359,-8.897924,6.603121,6.500276,5.735553,-8.152944,-9.947668,8.615177,6.043538,-3.591457,-6.421464,0
-5.393196,-2.599962,1.597972,6.153209,9.326242,-1.427615,-4.101957,5.414112,-2.649,0.285142,-8.660936,0
-4.582474,-2.901961,13.616296,-0.513647,25.037285,-3.461717,-5.763212,15.967689,-8.082525,-3.95602,-10.326128,0
-4.133379,-5.129031,10.132824,-0.157492,21.953965,-7.454729,-6.8342,5.925747,-3.917278,0.49578,-9.767091,1
-6.234926,-0.549899,19.530402,-0.887016,13.74354,-0.194591,13.31555,14.30495,-16.000301,4.106531,-9.180515,0
0.343424,-9.146679,10.894577,3.453444,9.985602,-0.060091,-1.939278,13.351644,-5.21366,-4.511687,-8.907415,0
3.362228,-4.794967,9.064268,-0.421059,15.58014,1.437461,-0.021681,3.746404,-9.548808,-1.650087,-9.389891,1
-0.024378,-4.277699,6.836364,2.414157,3.27371,0.43088,-0.103886,8.505718,-2.321755,-2.859646,-4.193812,0
-1.27184,-1.229085,12.851473,-2.470138,13.298533,6.119829,11.540578,14.079853,-18.585405,-4.606606,-10.53912,0
1.790802,1.014614,9.478145,1.10455,14.959154,3.542339,2.311983,9.913433,-11.897422,-1.68109,-7.293382,0
-6.043274,1.579233,7.002175,-1.170314,21.804138,-2.133983,6.308988,8.819022,-15.753768,4.227024,-12.045032,0
-0.542291,-0.96072,11.068552,-1.625162,7.400217,7.164705,10.806109,11.270337,-13.053086,-1.913636,-6.848381,1
2.995861,-11.239764,10.711307,3.561169,10.992779,-6.139642,-11.904502,9.889484,3.203816,-7.683947,-7.95577,1
-3.589537,-5.279719,18.676481,-0.408482,11.661764,-0.305715,11.50253,17.140081,-13.582095,-0.118211,-9.276289,0
-1.151441,-7.041811,10.922518,-4.86554,21.978709,-8.19055,-3.963128,2.863955,-11.760654,5.338044,-7.209843,1
-3.103754,-1.440482,5.171386,5.033188,17.500003,-7.664008,-9.226817,5.25034,-1.500358,1.345712,-6.868135,0
-5.455481,-6.307943,20.463389,-5.326226,26.281967,5.663799,11.536622,20.36384,-25.411863,-1.916149,-16.25941,0
0.586013,-3.344044,9.114672,-0.419623,18.329318,-1.323918,4.584238,7.581964,-10.94757,1.654002,-12.796384,1
-6.087029,3.822069,4.726933,-1.454739,24.307896,-5.774123,1.17157,3.072811,-12.732806,6.62734,-10.172692,0
-6.56823,-3.59858,12.452578,1.736847,17.312493,-4.440677,-4.914274,13.952524,-4.572562,-4.400144,-7.098224,0
0.434537,-17.905725,-3.745324,9.284877,9.788408,-13.405668,-8.513263,5.281811,5.761863,2.028312,-12.465178,1
-1.097713,-2.0958,21.569387,-1.902548,13.39953,11.358689,18.283103,23.70147,-21.70629,-9.006652,-13.024817,1
-2.080917,-4.490346,-1.009103,-1.874215,17.430258,-9.502213,-12.194129,-2.965478,-2.024835,3.687302,-4.417362,0
-2.730408,-2.971569,20.199311,-2.548765,12.497731,2.534025,14.320532,17.243705,-18.499442,0.821269,-8.730422,0
-1.540054,-3.874153,22.7015,-4.484335,22.287114,10.488444,16.037908,19.12943,-24.945348,-4.005561,-15.573824,1
1.037647,-8.10644,12.446286,-5.29547,27.839831,-10.058826,-7.409482,12.426595,-13.732548,-0.57025,-12.145643,0
-0.086778,0.611131,6.813849,-1.79643,17.965466,-0.448277,-0.405307,2.899126,-9.416216,-1.568647,-6.799164,1
1.367319,-7.95602,16.147445,-7.000103,21.642738,1.098942,11.852746,11.82785,-22.814143,2.252682,-12.833328,1
-5.292027,2.29199,14.070321,-4.061449,23.439097,2.529598,6.438344,12.309851,-17.126249,-1.025309,-8.985483,0
-3.652919,0.457264,3.320723,5.508533,9.362589,-1.081297,3.81676,5.999221,-8.367805,3.213535,-9.449524,0
1.257603,-2.611907,9.3177,-5.298196,15.049233,-1.973509,4.102534,-0.567407,-14.841461,6.25259,-5.621044,1
-6.619691,2.664541,3.041259,4.883712,17.652844,-5.415939,-3.321949,1.928938,-4.280505,5.876362,-7.715507,1
-2.765609,-2.665712,4.60862,3.965811,12.059115,-4.28095,-5.030601,3.67858,-1.958628,3.332915,-6.261102,1
-5.458585,-1.807438,6.388653,-1.000388,16.620468,0.72913,1.28045,8.265427,-9.829191,-1.643668,-7.05377,0
2.012785,-3.472239,9.69903,0.68979,5.345776,4.80252,4.244067,10.196259,-7.165243,-3.908897,-6.32053,1
1.722876,-5.422083,8.481046,3.573734,20.227204,-8.610837,-13.169793,7.775004,-1.773846,-3.465713,-7.654749,0
-3.823396,-1.553704,6.279002,5.31898,7.857275,0.184205,-0.778583,11.793648,-1.957008,-2.992372,-7.744222,0
-0.087574,-3.994578,11.338022,0.113974,8.668855,2.132771,3.669827,12.393468,-8.062244,-3.298563,-6.836494,1
1.306777,-5.638812,6.85081,3.12047,6.997969,1.358506,-1.185163,4.92157,-4.021297,-2.418044,-6.733376,0
3.945173,-4.21052,6.019243,-5.948822,19.075295,-6.000319,-3.328866,6.727487,-10.367892,-0.155576,-7.279722,0
0.007369,-4.234993,12.553327,-2.348761,20.752444,-4.243638,-3.733464,11.038178,-8.455122,-1.369145,-8.161913,0
-4.840562,-1.712786,8.501699,0.966534,9.051382,2.201306,5.736798,7.315768,-7.401381,0.507665,-7.708894,1
1.038231,-7.750712,11.124118,3.172068,12.731962,-3.813948,-5.1288,15.410532,-3.48134,-8.139736,-8.428491,0
-3.125278,-2.126797,10.454901,-2.698437,16.751743,0.480071,1.686456,7.176732,-9.906825,-0.264891,-7.357869,1
6.934405,-11.613246,7.231657,2.009028,7.952959,-2.871152,-2.172922,13.904849,-9.876052,-4.014158,-10.640939,1
6.650066,-11.962377,10.634165,4.021002,14.32977,-6.763829,-11.925751,8.57244,0.095398,-6.463728,-9.855821,1
3.772741,-8.543427,13.279008,-3.480306,26.545547,-7.539862,-13.023451,11.196889,-3.068851,-6.145408,-11.507224,1
-0.882067,-1.628282,22.694373,-4.462263,23.478611,7.173735,13.78639,22.464837,-23.406716,-7.131012,-14.265394,1
-1.765265,-3.161194,13.295823,-3.331005,25.736622,-5.227269,-6.622474,10.827028,-8.599948,-0.040055,-8.249782,0
-6.171785,-13.518875,-3.602842,8.692922,11.020455,-14.094095,-21.380484,3.326221,11.378112,1.438649,-5.4991,0
-14.336147,-12.571654,-11.439413,-1.673274,17.690354,-2.583239,16.319231,0.677147,-4.853789,9.367445,-12.343419,0
6.103727,-12.721612,8.543257,-0.230927,19.850191,-15.686405,-17.056139,11.57911,-2.844015,-3.700317,-9.860213,0
-1.557295,-6.413127,24.002665,-7.743828,19.839826,8.227113,20.281097,18.434392,-25.702202,-1.976068,-14.289835,1
-2.467077,-3.126597,15.196496,-0.85046,13.347133,7.829075,10.526957,13.654212,-16.092514,-2.209259,-10.46884,1
-3.369397,1.086803,3.174945,-0.91993,17.493875,-3.228196,-4.024121,3.133094,-6.507236,1.118977,-4.231359,0
-0.994487,-1.405362,7.750087,0.010979,12.478487,2.182554,2.137024,4.503898,-8.114911,-4.250366,-7.349617,1
-1.726269,-0.744698,7.100332,-1.082886,16.017737,-1.625006,1.151308,3.771837,-8.014318,2.546517,-7.867384,1
-4.636584,-2.958353,-0.993369,7.589264,2.886353,-2.335804,-1.246611,8.299743,0.016131,0.109293,-8.456054,0
4.157595,-5.957693,8.137268,1.204287,9.701866,0.477443,1.975816,4.078065,-5.673756,-3.464725,-10.325425,1
6.19741,-8.38457,10.416715,-1.943052,18.589155,-3.10318,-5.127381,3.283404,-6.143865,-5.459232,-10.755543,1
4.360084,-11.858534,9.969554,3.819316,8.381045,-5.927226,-9.807217,9.361084,2.814542,-8.239907,-8.001108,1
-4.694569,-9.353869,10.795248,-1.728477,22.470623,-9.071629,-4.281837,14.512739,-11.197364,0.397084,-13.208031,0
5.544083,-9.32165,7.661674,1.021761,12.40712,-5.001613,-7.55455,7.994558,-1.924404,-5.03215,-7.79957,1
-3.051922,-0.528096,4.52943,-1.476301,20.81615,-4.161895,-1.502813,0.05664,-9.988207,1.282347,-9.926519,0
-5.070662,-0.901914,-0.173822,1.653054,14.18947,-2.455139,-4.215215,-1.136,-3.838712,0.981322,-8.720455,0
-0.821974,-8.19686,25.209517,-4.467222,18.012848,7.239719,15.168084,25.065685,-23.650669,-2.390992,-12.663044,1
-4.614047,-1.398487,1.80678,3.672678,12.361671,1.349268,-4.422527,4.519896,-3.675937,-0.444847,-6.307141,0
1.459502,-12.404675,11.068234,2.816283,12.487019,-6.673186,-9.798595,12.945834,0.71082,-7.266928,-8.772285,1
-2.938471,-7.861017,4.837893,-0.665527,24.079553,-15.286935,-11.992622,0.96295,-8.873428,8.586825,-10.143453,0
-2.054799,2.229748,6.050139,-5.014002,16.855927,-1.217484,3.071007,5.755134,-13.068793,-0.309898,-5.903533,0
-2.278951,-1.471541,3.595604,2.446295,12.826193,-1.372956,9.873497,6.961831,-9.736314,3.652085,-11.21619,0
-1.634036,-1.529035,12.901632,-3.968587,14.417443,-2.421252,2.620969,2.290998,-11.165123,2.62998,-3.720909,1
4.988118,-9.840297,6.092886,1.779346,9.286704,-10.617413,-13.3849,10.31763,4.824689,-5.782067,-4.419804,1
-4.554118,1.186011,4.015082,4.102126,12.452035,-0.428698,-0.115276,2.608224,-5.665285,1.89866,-6.735364,0
-0.159734,-3.718006,10.892155,-2.511044,8.090409,4.608665,11.186623,6.24983,-16.288284,1.422245,-7.925055,1
5.36964,-3.071192,8.058185,-4.837796,22.855885,-0.120682,6.599189,2.949969,-20.808222,6.375163,-11.026062,1
-0.612095,-2.8958,14.329006,-4.539507,29.066308,-5.678338,-6.629158,11.188151,-10.539723,0.235547,-9.139104,0
-0.078221,-3.631719,5.156306,4.940178,3.869278,1.005662,0.479799,9.436205,-6.294547,-3.521561,-6.169592,0
7.442766,-3.349263,8.894916,-2.624466,12.683617,2.197933,4.350949,10.265367,-12.489719,-2.144601,-7.846245,1
-0.114939,-8.016105,10.090935,4.38057,9.402277,-3.362879,-5.122116,15.049409,-1.541565,-8.415338,-7.539169,0
-1.226361,1.082707,6.753497,3.231779,22.046174,-2.063704,2.790015,6.595464,-15.46118,5.681187,-13.203446,0
4.65917,-7.905434,8.107704,0.651599,12.565786,2.485495,0.397337,4.689469,-8.575369,-3.838483,-10.338378,1
-0.414386,-10.076539,19.46249,-0.32966,13.82801,9.530965,12.945478,22.970162,-18.830974,-7.545202,-15.092146,1
-6.402462,-0.81227,3.736368,3.66825,24.420432,-15.010389,-21.694814,2.953417,5.939268,2.552259,-4.361599,0
4.752158,-7.329532,9.933031,2.463663,5.220457,0.813584,0.888012,11.367563,-6.378998,-2.103217,-5.96071,1
1.655019,-3.057282,8.21198,-0.016011,8.261358,1.993313,3.503534,6.928042,-8.280439,-3.637129,-5.68882,1
5.710107,-15.502387,18.046726,-3.091199,5.285884,-12.234253,-4.618142,10.426681,-6.77767,0.972527,-4.288024,1
6.412232,-2.861152,9.199087,-1.020207,6.356175,5.227774,7.344364,8.745448,-10.841258,-3.610172,-7.182989,1
-8.503004,1.740495,10.7125,1.392918,20.369806,1.808826,6.153889,11.988583,-11.410865,1.066412,-13.158512,0
-4.615432,-2.974192,9.66023,-0.274695,21.21668,-7.34765,-5.74992,7.739234,-4.838752,2.274107,-8.241283,0
0.085041,0.559841,8.309934,-0.590629,12.698445,2.60978,4.006346,7.418059,-10.442062,-2.969567,-6.579925,0
5.47719,-9.636464,6.777702,-3.175863,23.848574,-13.712529,-14.33151,5.937046,-6.809011,-0.91447,-10.091339,0
-5.292027,2.29199,14.070321,-4.061449,23.439097,2.529598,6.438344,12.309851,-17.126249,-1.025309,-8.985483,0
-5.311685,0.735583,3.356136,1.687848,17.071265,-2.461733,-0.626818,1.761427,-9.709856,3.652789,-8.464139,0
0.994409,-5.192484,3.177428,-0.065717,20.563369,-13.348,-18.605805,-1.013787,3.419473,1.238988,-4.069953,0
-0.017857,-3.522263,7.685324,-0.810681,25.093669,-8.644709,-11.994205,3.782011,-5.0963,2.889739,-6.884241,0
-4.658462,1.112708,5.507155,1.580417,15.167189,-2.685687,-0.916688,4.000458,-5.518143,0.727463,-6.744137,0
5.57645,-11.876261,6.501079,4.910997,6.315585,-8.080185,-13.587614,5.834457,6.615255,-7.525388,-6.247748,1
7.115358,-3.11043,8.680154,-2.937101,17.407034,-2.225115,-1.949125,5.626844,-9.33378,-1.323495,-7.631728,1
-2.445317,-0.467631,1.286446,3.057226,6.226677,-1.595365,0.864855,2.703891,-4.933152,0.049812,-6.101884,0
4.863685,-3.495817,9.976926,-6.182882,18.517154,-3.777228,0.364532,9.59054,-12.851379,-1.643956,-8.393919,0
-2.605033,-0.526533,6.897592,-3.151931,17.426662,-1.023864,-0.770815,2.289661,-8.481857,1.94211,-5.786079,1
-3.738438,-7.183499,21.59016,-1.986141,21.261543,9.107537,14.628152,24.472555,-26.682978,-2.589623,-16.872356,0
-1.486041,-4.359244,3.502511,-2.763205,18.159082,-8.216248,-6.444081,-1.437951,-7.877426,6.608466,-4.882135,1
3.557936,-7.989989,4.963601,6.202496,6.402157,-9.997677,-12.011703,7.826865,6.305112,-2.596267,-5.484035,1
6.175502,-7.825548,8.097079,0.204499,19.355002,-11.188889,-14.891879,6.15154,0.211933,-2.876467,-6.900203,0
-3.113683,-2.263971,5.823566,-1.463804,22.647832,-4.360147,-7.512288,-1.355954,-6.354315,3.491394,-6.909704,1
-0.397714,-5.792573,12.579672,-7.41742,23.366233,3.768148,13.391037,7.87864,-24.1859,2.522741,-13.966359,1
0.18627,-9.646184,7.018511,-1.107679,15.402999,-4.706151,-5.32887,-0.293312,-1.693403,-2.443386,-8.552273,1
4.087287,-10.986454,7.79701,4.842343,11.069692,-13.031844,-18.394867,10.331807,7.522381,-5.440388,-5.023639,1
-3.744689,0.4057,17.004791,-1.100818,13.003257,-0.607164,12.435047,11.258103,-15.446911,5.042873,-8.231635,0
-9.727429,-5.319935,11.566481,-1.985312,16.651102,2.843729,13.142137,7.596117,-14.545913,3.260742,-12.818604,0
6.271278,-11.27085,29.348319,-2.223009,27.926008,-2.152745,-1.965868,32.838704,-14.801884,-10.944841,-16.349893,0
-3.830616,-2.455744,6.296516,7.038046,22.71183,-12.860475,-15.215134,7.023603,1.971551,2.613635,-9.073786,0
-0.403468,-7.620634,15.508114,-0.936575,20.470603,-9.715923,-7.421328,13.772507,-6.946286,-1.953316,-6.857423,0
-3.418675,-2.73878,5.103894,-0.523966,12.024635,1.361808,2.975961,1.36228,-7.861466,3.863439,-5.709178,1
-1.200422,-6.955389,7.321457,-4.841879,23.777094,-13.435292,-13.850555,7.714149,-5.457159,0.054438,-7.748758,0
-7.890449,1.93342,8.806192,-0.380901,25.389226,-2.988397,2.048148,4.410484,-12.140272,8.667428,-10.979092,0
-5.484348,-3.769695,2.909887,2.234211,23.040841,-12.699249,-12.358068,3.816517,-5.808078,3.859015,-9.387997,0
0.780649,-7.613213,7.289082,5.099338,14.040746,-3.380389,-9.966223,7.84614,-0.892767,-5.983905,-8.3284,1
