@relation Bank_limited-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C0-K8-P500.0-S1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute y {no,yes}

@data
49.589273,blue-collar,married,secondary,15.557838,no,no,cellular,18.623972,may,525.063617,1.81967,-1,0,unknown,yes
55,technician,divorced,secondary,3450,no,no,cellular,10,feb,169,1,183,1,failure,yes
32.606153,management,married,tertiary,3284.349167,no,no,cellular,16.702778,jun,266.155486,1.73048,212.934314,1.467222,unknown,yes
30,technician,single,tertiary,1922,yes,no,cellular,18,may,546,1,-1,0,unknown,no
38,management,married,tertiary,-469,yes,no,unknown,16,jun,209,12,-1,0,unknown,no
43,unemployed,married,primary,960,yes,yes,unknown,15,may,241,2,-1,0,unknown,no
54,management,divorced,tertiary,7010,no,no,cellular,11,mar,275,2,-1,0,unknown,no
45,services,married,secondary,1343,no,yes,cellular,8,jul,220,1,-1,0,unknown,no
59,blue-collar,divorced,secondary,3573,no,no,cellular,15,may,44,1,-1,0,unknown,no
52,management,married,tertiary,3163,no,no,cellular,25,aug,56,6,-1,0,unknown,no
29,technician,single,secondary,778,yes,no,unknown,6,jun,1994,2,-1,0,unknown,no
44,blue-collar,married,primary,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no
39,blue-collar,married,unknown,0,no,no,cellular,2,feb,731,1,193,3,failure,no
38,management,married,tertiary,389,yes,no,unknown,6,may,262,1,-1,0,unknown,no
39.557895,blue-collar,married,secondary,-623.242707,yes,no,cellular,6.841867,may,455.8368,1,-1,0,unknown,yes
37,technician,married,secondary,480,no,no,cellular,22,oct,344,2,182,8,other,yes
30,technician,single,secondary,4787,yes,no,cellular,18,nov,266,1,167,2,failure,no
52,services,married,secondary,431,no,no,cellular,26,aug,73,17,-1,0,unknown,no
38,blue-collar,married,secondary,361,yes,no,unknown,11,jun,601,1,-1,0,unknown,no
34,blue-collar,married,secondary,393,yes,no,cellular,5,may,11,9,-1,0,unknown,no
30,services,married,secondary,1743,yes,no,cellular,5,feb,192,4,-1,0,unknown,no
41,admin.,single,tertiary,982,no,no,cellular,23,jul,105,1,-1,0,unknown,no
37.879738,technician,single,secondary,-242,yes,no,cellular,16.697871,may,1169.448614,3.799452,28.430544,2.482666,unknown,yes
36,management,married,tertiary,61,no,yes,cellular,19,aug,452,2,-1,0,unknown,no
31,technician,married,secondary,119,yes,no,cellular,4,feb,380,1,-1,0,unknown,no
53.870662,management,married,secondary,926.280133,no,no,cellular,7.449301,aug,999.906903,5.80724,-1,0,unknown,yes
49,entrepreneur,married,primary,199,no,no,unknown,13,may,113,2,-1,0,unknown,no
53,admin.,married,secondary,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
51,blue-collar,divorced,primary,37,yes,no,cellular,13,may,341,1,-1,0,unknown,no
30,admin.,single,tertiary,305,no,no,cellular,30,apr,633,1,85,2,success,yes
26,blue-collar,married,primary,5116,yes,no,cellular,22,jul,246,3,-1,0,unknown,no
29,admin.,married,secondary,22171,yes,no,cellular,18,may,44,1,355,3,failure,no
56,management,married,primary,772,yes,no,telephone,20,nov,291,1,-1,0,unknown,no
61,self-employed,divorced,tertiary,6610,no,no,cellular,24,feb,481,2,-1,0,unknown,yes
35.172651,technician,single,secondary,1086.736025,no,no,cellular,20.27099,aug,809.20368,1,-1,0,unknown,yes
43.462767,technician,single,secondary,222.490552,no,no,cellular,15.817639,apr,272.105777,1.336708,-1,0,unknown,yes
40.676786,management,married,secondary,883.704707,yes,no,cellular,17.479456,may,304.782102,3,385.690083,3.566494,failure,yes
35.402136,blue-collar,single,secondary,-383.884617,yes,no,cellular,15.339055,may,435.343248,1,-1,0,unknown,yes
37.842815,blue-collar,married,secondary,-578.949039,yes,no,cellular,16,may,987.518412,2,-1,0,unknown,yes
27,admin.,married,secondary,-517,yes,no,cellular,14,jul,172,3,-1,0,unknown,no
41,blue-collar,married,secondary,1334,yes,no,cellular,20,apr,234,5,-1,0,unknown,no
43.553718,services,married,secondary,360.104018,yes,no,cellular,26.240443,may,910.956989,3.43153,-1,0,unknown,yes
36,entrepreneur,married,tertiary,1169,yes,no,unknown,6,may,168,2,-1,0,unknown,no
36.820443,management,married,tertiary,1325.807651,no,no,cellular,30,jun,282.486514,1,19.536399,1.608205,unknown,yes
31,student,single,tertiary,64,no,no,cellular,15,sep,208,1,105,2,success,no
36.40784,management,married,tertiary,2514.254975,yes,no,cellular,17.927217,may,831.565744,5.212337,-1,0,unknown,yes
27.555052,management,married,secondary,2416.596042,no,no,cellular,24.067302,nov,187.9994,5.549554,165.571261,2.407611,success,yes
47.550928,management,single,tertiary,1285.590403,no,no,cellular,11.713597,aug,881.207623,3,-1,0,unknown,yes
37.668161,blue-collar,married,secondary,691.038526,no,no,cellular,6.240339,jul,865.713659,1.111111,-1,0,unknown,yes
40.960442,management,single,secondary,69.131265,yes,no,cellular,21.23392,jul,1167.934223,5.705707,-1,0,unknown,yes
53.108215,admin.,married,secondary,3715.608058,no,no,cellular,7.316387,apr,250,2,182.39115,3.135179,success,yes
37,blue-collar,divorced,primary,511,yes,no,telephone,11,may,42,1,-1,0,unknown,no
53.289749,admin.,married,secondary,0.946756,no,no,cellular,16.445415,oct,162.597242,2,294.186439,5.137888,failure,yes
46,management,married,tertiary,1285,yes,no,unknown,27,may,89,1,-1,0,unknown,no
47.596713,services,married,secondary,447.83064,no,no,cellular,11.093714,apr,501.769373,1,92.335676,1,unknown,yes
35.494707,admin.,married,secondary,4649.371279,no,no,cellular,12.362397,may,233.450654,1.129846,-1,0,unknown,yes
35,management,married,tertiary,949,yes,no,unknown,27,may,245,2,-1,0,unknown,no
43,technician,married,secondary,-932,yes,no,cellular,16,apr,567,1,-1,0,unknown,no
29,services,single,secondary,192,no,no,cellular,30,jan,327,4,-1,0,unknown,no
40.929366,management,married,tertiary,2791.147183,yes,no,cellular,28.193821,aug,767.85463,1,-1,0,unknown,yes
28.780413,management,single,secondary,2499.660017,no,no,cellular,14.210721,feb,271.160653,1.757111,136.293558,3.026798,unknown,yes
30,admin.,single,secondary,81,yes,no,cellular,6,aug,121,6,112,3,other,no
28,blue-collar,married,secondary,8,yes,no,cellular,15,may,196,1,-1,0,unknown,no
29,self-employed,married,tertiary,3931,yes,no,unknown,3,jun,73,4,-1,0,unknown,no
28,admin.,single,secondary,89,yes,yes,cellular,6,feb,172,2,-1,0,unknown,no
27.426358,management,single,secondary,-7.79809,no,no,cellular,27.795123,aug,567.005785,1.954421,-1,0,unknown,yes
36,management,single,tertiary,-679,yes,yes,cellular,7,may,172,1,93,1,failure,no
57.118327,management,married,secondary,1655.107088,yes,no,cellular,24.085606,aug,323.951172,3.831319,338.65086,2.855881,failure,yes
32.053828,blue-collar,married,secondary,619.524734,yes,no,cellular,4.455571,may,1484.526782,23.635059,24.402431,2.327271,unknown,yes
35.975987,management,married,secondary,49.329532,no,no,cellular,27.703083,may,521.894985,1.331892,-1,0,unknown,yes
43,management,divorced,tertiary,99,no,no,cellular,29,jan,24,3,-1,0,unknown,no
39.028296,management,married,secondary,2401.37855,no,no,cellular,11.264538,nov,302.968169,1.724836,174.448308,2.499178,success,yes
43.787306,blue-collar,married,secondary,549.512312,no,no,cellular,21.740901,jul,1059.191604,8.781577,-1,0,unknown,yes
51,technician,married,secondary,117,no,no,cellular,24,aug,467,2,88,4,other,yes
32,admin.,single,secondary,620,yes,no,unknown,26,may,1234,3,-1,0,unknown,yes
36,services,married,secondary,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
37,management,single,tertiary,9,no,no,cellular,26,aug,484,2,-1,0,unknown,no
30,unemployed,single,secondary,-770,yes,no,unknown,28,may,87,1,-1,0,unknown,no
56.06567,retired,married,primary,736.548101,no,no,cellular,22.066964,apr,381.77916,2,-1,0,unknown,yes
40,management,married,tertiary,-17,yes,yes,cellular,11,may,474,1,256,1,success,yes
49,retired,married,primary,-37,no,no,unknown,4,jul,191,2,-1,0,unknown,no
46.424206,management,married,tertiary,1724.164781,no,no,cellular,24.896164,jun,272.634719,1,-1,0,unknown,yes
48,technician,married,secondary,178,yes,no,unknown,17,jun,320,4,-1,0,unknown,no
44.83024,management,married,secondary,380.794671,yes,no,cellular,19.00198,may,590.889801,3.421995,319.990458,2.085551,failure,yes
40,services,married,secondary,-378,yes,yes,cellular,13,may,541,1,295,6,failure,no
34,services,married,secondary,1076,no,no,cellular,12,may,152,1,182,6,success,yes
36,management,married,tertiary,-381,yes,no,cellular,31,jul,30,29,-1,0,unknown,no
43,management,single,tertiary,1696,yes,no,cellular,26,aug,257,1,474,3,failure,yes
40,blue-collar,married,secondary,271,yes,no,unknown,29,may,483,2,-1,0,unknown,no
34,self-employed,single,tertiary,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
39,blue-collar,married,primary,1564,no,no,unknown,17,jun,57,1,-1,0,unknown,no
26,management,single,secondary,63,no,no,cellular,28,jul,76,4,-1,0,unknown,no
58,self-employed,married,primary,1013,yes,no,cellular,11,aug,206,1,461,1,failure,yes
31,housemaid,single,primary,26965,no,no,cellular,21,apr,654,2,-1,0,unknown,yes
33.162706,management,single,tertiary,0,no,no,cellular,24.735049,sep,279.624721,2.375134,99.439855,3.456309,success,yes
43,management,divorced,tertiary,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
49.007403,management,married,primary,2276.54094,yes,no,cellular,13.218867,may,1385.19981,15.531356,15.205435,0.971297,unknown,yes
31,entrepreneur,single,tertiary,1957,no,no,cellular,4,feb,112,3,-1,0,unknown,no
29,self-employed,married,tertiary,242,yes,no,cellular,18,jul,73,4,-1,0,unknown,no
49,management,married,primary,3371,no,no,cellular,11,nov,269,2,-1,0,unknown,yes
57,technician,divorced,primary,13,yes,no,cellular,8,may,323,2,368,2,failure,no
43.302037,technician,single,secondary,2419.941494,no,no,cellular,9.312455,feb,172.042176,3.035343,-1,0,unknown,yes
46,blue-collar,married,secondary,-1400,yes,no,telephone,6,may,309,3,355,4,failure,no
39,services,single,secondary,7066,yes,no,cellular,15,may,667,3,357,3,other,yes
51,blue-collar,married,secondary,2237,yes,no,unknown,29,may,619,1,-1,0,unknown,no
56.429053,admin.,single,secondary,66.10391,yes,no,cellular,17.763398,jul,1183.732763,3.917688,-1,0,unknown,yes
41.857147,management,married,tertiary,1571.605128,no,no,cellular,4.672582,apr,320.141095,1.363093,268.092358,2.080771,success,yes
75,retired,divorced,primary,852,no,no,cellular,15,mar,341,1,-1,0,unknown,no
45,admin.,married,secondary,204,yes,no,cellular,3,jun,224,2,-1,0,unknown,yes
34.124972,management,married,secondary,3127.93089,no,no,cellular,17.694357,may,569.742028,1.479604,-1,0,unknown,yes
41,self-employed,married,secondary,28,yes,no,cellular,11,may,49,1,-1,0,unknown,no
37.288466,management,married,tertiary,1289.577155,no,no,cellular,15.339926,jun,220.467328,1,-0.3553,0.662434,unknown,yes
54.941974,retired,married,secondary,4024.288999,no,no,cellular,19.330302,apr,150.136082,1.182852,-1,0,success,yes
24.571657,management,single,secondary,142.3074,no,no,cellular,14.684125,apr,112.944314,1.260562,-1,0,unknown,yes
24,technician,single,secondary,-46,yes,no,unknown,19,may,23,1,-1,0,unknown,no
25,admin.,single,tertiary,1420,no,no,cellular,8,apr,124,2,-1,0,unknown,no
51.701396,blue-collar,married,secondary,668.127346,no,no,cellular,8.200397,jul,870.784702,1,-1,0,unknown,yes
47,services,married,secondary,2,no,yes,cellular,21,jul,71,15,-1,0,unknown,no
60,blue-collar,married,primary,1472,no,no,unknown,20,jun,36,4,-1,0,unknown,no
46.542814,management,married,tertiary,1169.43511,yes,no,cellular,7.263477,aug,382.065553,1.09028,51.664017,1.389376,unknown,yes
29,management,single,tertiary,21,yes,no,cellular,14,may,107,4,371,3,failure,no
28,management,single,secondary,1633,no,no,cellular,5,jun,275,1,-1,0,unknown,yes
36,blue-collar,married,secondary,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
30.397131,management,married,tertiary,1310.650692,no,no,cellular,25.510989,aug,238.249486,3.95482,-1,0,unknown,yes
39,admin.,divorced,secondary,83,yes,no,cellular,30,jul,69,6,-1,0,unknown,no
31,services,married,secondary,500,yes,no,unknown,6,jun,19,18,-1,0,unknown,no
27,admin.,married,secondary,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
25,management,married,tertiary,-242,yes,yes,cellular,18,may,600,4,332,4,other,yes
30,management,married,tertiary,1942,yes,yes,cellular,21,nov,436,2,178,3,other,yes
32,self-employed,married,secondary,413,yes,no,cellular,11,jul,712,2,-1,0,unknown,no
45,technician,married,secondary,1410,no,no,cellular,11,aug,71,2,-1,0,unknown,no
39.186229,management,married,tertiary,285.492022,yes,no,unknown,24.45357,may,810.207942,4.752791,-1,0,unknown,yes
44,admin.,married,secondary,5181,yes,yes,cellular,31,jul,18,7,-1,0,unknown,no
41,blue-collar,single,secondary,-376.741307,yes,no,cellular,17.641662,may,489.540742,1,-1,0,unknown,yes
51.256291,blue-collar,married,primary,-311.246384,yes,no,cellular,14.889491,may,780.567042,1.182775,-1,0,unknown,yes
33,technician,divorced,secondary,0,no,no,cellular,21,aug,224,8,-1,0,unknown,no
43,blue-collar,married,primary,-98,yes,yes,cellular,12,may,112,2,330,3,other,no
28,blue-collar,single,secondary,1065,yes,yes,cellular,17,apr,406,1,317,1,failure,no
31,blue-collar,married,secondary,897,yes,no,unknown,20,may,26,2,-1,0,unknown,no
37.382042,management,married,secondary,95.274387,no,no,cellular,19.043129,may,644.747858,1.887325,95.461442,2.051299,unknown,yes
46.543317,management,divorced,tertiary,1286.865371,no,no,cellular,12.356415,aug,707.860435,3.929309,-1,0,unknown,yes
33.828354,admin.,married,secondary,9.905623,no,no,cellular,29.9494,aug,337.865145,1.418295,-0.836653,4.149503,unknown,yes
31,admin.,single,secondary,68,yes,no,cellular,16,apr,570,2,-1,0,unknown,no
34.781117,technician,single,secondary,2595.76785,no,no,cellular,14.104127,feb,113.947784,1.960327,-1,0,unknown,yes
35,management,married,tertiary,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no
34,services,married,secondary,2211,no,no,unknown,8,may,149,1,-1,0,unknown,no
30,blue-collar,single,primary,395,no,no,cellular,21,nov,429,1,-1,0,unknown,no
34,blue-collar,married,secondary,2542,yes,no,cellular,14,may,228,1,-1,0,unknown,no
35,blue-collar,divorced,secondary,275,no,yes,cellular,10,jul,144,5,-1,0,unknown,no
47,blue-collar,married,primary,556,yes,no,cellular,4,feb,147,2,264,4,other,no
52,retired,married,secondary,603,no,yes,unknown,9,jun,79,1,-1,0,unknown,no
36.479173,management,married,tertiary,406.606779,no,no,cellular,5.214385,apr,652.210224,1.057473,-1,0,unknown,yes
28.388106,management,married,secondary,111.47636,no,no,cellular,3.125771,may,606.448765,2.318849,-1,0,unknown,yes
48.086407,management,married,secondary,3726.9514,no,no,cellular,7.832837,aug,911.257095,3.86425,-1,0,unknown,yes
41.083737,management,married,secondary,1189.737913,no,no,cellular,11,may,93.028133,2.994076,89.426968,1.653859,unknown,yes
59.889645,services,married,secondary,465.585239,no,no,cellular,15.173261,apr,437.364214,1,12.024678,0.266408,unknown,yes
35,management,married,tertiary,3161,no,no,cellular,8,aug,433,2,-1,0,unknown,no
77,retired,married,primary,680,no,no,telephone,24,feb,513,2,89,7,failure,no
30,management,single,tertiary,35,no,no,cellular,30,jul,185,4,-1,0,unknown,no
34,technician,single,secondary,318,no,yes,cellular,25,jul,239,5,-1,0,unknown,no
30,self-employed,married,secondary,123,no,yes,unknown,17,jul,66,1,85,5,other,no
46.675264,management,married,secondary,0,no,no,cellular,26.202315,may,522.313639,1,29.521333,3.234309,unknown,yes
55,entrepreneur,married,secondary,204,no,no,cellular,14,jul,455,13,-1,0,unknown,no
27,admin.,married,secondary,186,yes,no,unknown,27,may,136,2,-1,0,unknown,no
27.837019,management,married,secondary,3925.480028,no,no,cellular,19.694561,apr,280.825971,2.102765,-1,0,unknown,yes
37,blue-collar,married,secondary,140,yes,yes,cellular,7,may,490,1,-1,0,unknown,no
32,technician,single,secondary,230,yes,no,cellular,18,may,442,1,266,8,failure,yes
47.290036,technician,divorced,secondary,0,yes,no,cellular,23.042509,oct,215.043957,1.733331,-1,0,unknown,yes
49,entrepreneur,married,secondary,167,yes,yes,unknown,6,may,198,3,-1,0,unknown,no
42,blue-collar,married,primary,2519,yes,no,unknown,15,may,262,4,-1,0,unknown,no
31.380023,management,single,tertiary,5299.495563,no,no,cellular,18.651444,apr,218.633267,1.320166,175.71815,1.708276,unknown,yes
51,entrepreneur,married,secondary,-2082,no,yes,cellular,28,jul,123,6,-1,0,unknown,no
32,technician,married,tertiary,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
29.535284,blue-collar,married,secondary,738.086929,no,no,cellular,26.971082,may,1307.134977,2.983479,-1,0,unknown,yes
27,management,single,tertiary,0,no,yes,cellular,8,jul,46,1,-1,0,unknown,no
51,technician,married,secondary,143,yes,no,unknown,16,may,627,1,-1,0,unknown,no
32,technician,married,tertiary,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown,no
41,admin.,married,secondary,0,no,no,unknown,20,jun,89,1,-1,0,unknown,no
52,blue-collar,married,primary,779,yes,no,unknown,16,may,30,3,-1,0,unknown,no
33,blue-collar,married,secondary,745,yes,no,unknown,23,may,115,4,-1,0,unknown,no
49.760819,management,married,secondary,374.49424,yes,no,cellular,16.75002,may,589.183376,3.656045,280.85298,2.710307,failure,yes
43.03919,retired,married,secondary,7597.420852,no,no,cellular,8.717229,may,709.283612,2,-1,0,unknown,yes
40,management,married,tertiary,51,no,no,cellular,19,aug,164,2,-1,0,unknown,no
35.8758,management,married,tertiary,1171.322597,no,no,cellular,5.801396,apr,303.10629,3.595937,180.151938,2.981358,success,yes
43.985936,management,married,secondary,1253.936019,yes,no,cellular,16.892634,apr,387.05648,2.683094,412.621461,1.48572,success,yes
32,admin.,single,tertiary,-59,no,yes,unknown,4,jul,192,1,-1,0,unknown,no
42.159825,management,married,secondary,2469.578395,no,no,cellular,14.615865,aug,268.116712,1,183.002729,2.650671,failure,yes
33.329776,blue-collar,married,primary,-411.951671,yes,no,cellular,21.624209,may,792.12913,2,-1,0,unknown,yes
53,unemployed,married,primary,980,yes,no,cellular,3,dec,352,1,-1,0,unknown,yes
38,technician,married,secondary,994,no,no,unknown,9,jun,119,1,-1,0,unknown,no
36,services,single,secondary,760,no,no,unknown,20,jun,9,13,-1,0,unknown,no
31,blue-collar,married,secondary,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,no
46.342037,management,single,secondary,-10.286295,no,no,cellular,14.784913,aug,613.383892,1,-1,0,unknown,yes
37,entrepreneur,divorced,tertiary,66,no,no,cellular,18,nov,1164,2,-1,0,unknown,yes
44,blue-collar,married,primary,420,yes,no,unknown,7,may,110,2,-1,0,unknown,no
71.898508,management,married,tertiary,1121.714392,no,no,cellular,4.857297,jun,178.848843,1,-0.358377,0.347585,unknown,yes
50.794244,management,married,secondary,827.340108,no,no,cellular,11.140444,feb,599.393389,1,241.402067,3.989894,unknown,yes
49.050642,blue-collar,married,secondary,2189.647262,yes,no,cellular,15.431884,jun,1021.506979,1.359677,-1,0,unknown,yes
35,blue-collar,married,secondary,603,yes,no,cellular,17,apr,474,2,-1,0,unknown,no
39.468581,blue-collar,married,secondary,-828.345871,yes,no,cellular,9.105485,may,647.708083,2.154152,-1,0,unknown,yes
38.851575,management,single,tertiary,0,no,no,cellular,21.978404,sep,257.722871,2,182,3.163793,success,yes
38.784481,management,married,tertiary,49.944536,no,no,cellular,18.925907,jul,844.796453,1.869082,43.160446,0.605767,unknown,yes
36,blue-collar,married,secondary,1554,yes,no,unknown,12,may,325,4,-1,0,unknown,no
40,management,single,tertiary,1509,no,no,cellular,15,mar,144,2,124,1,failure,no
44.97362,blue-collar,married,secondary,711.28393,no,no,cellular,18.248792,jul,842.535858,1.924531,-1,0,unknown,yes
42.513972,management,married,secondary,3581.695628,no,no,cellular,18.458928,nov,636.244589,3.948602,0.760792,1.615186,unknown,yes
79,retired,married,secondary,4738,no,no,telephone,9,jul,151,5,-1,0,unknown,no
27,blue-collar,single,secondary,3792,no,no,cellular,22,apr,279,2,-1,0,unknown,yes
44.663688,management,married,secondary,2400.685934,no,no,cellular,3.342775,aug,291.152408,1,161.739524,1.294485,success,yes
60.815318,management,married,secondary,1850.023681,no,no,cellular,5.681232,jun,166.44264,2.50204,-1,0,unknown,yes
45.883802,management,married,secondary,4748.395585,yes,no,cellular,14.166262,may,774.30804,5.077735,31.762029,0.158321,unknown,yes
50,services,married,secondary,26394,no,no,cellular,25,aug,206,4,-1,0,unknown,no
60,unknown,married,unknown,7337,no,no,cellular,4,aug,122,1,-1,0,unknown,no
31,blue-collar,married,primary,2,yes,yes,cellular,10,jul,112,1,-1,0,unknown,no
41.142783,management,married,tertiary,2528.318649,yes,no,cellular,26.372903,may,1024.170453,11.446915,-1,0,unknown,yes
45.208259,management,single,tertiary,1326.00486,no,no,cellular,11.79228,aug,716.293786,2.958778,-1,0,unknown,yes
35,blue-collar,married,primary,624,yes,no,unknown,7,may,163,1,-1,0,unknown,no
44.961749,technician,married,secondary,6037.232515,no,no,cellular,4.321311,feb,279.585037,1.862541,94.458423,3.051504,unknown,yes
34.699676,technician,single,secondary,2485.023379,no,no,cellular,25.677679,oct,132.779806,4.291558,167.184572,1.101048,success,yes
40.977033,management,single,secondary,67.309701,no,no,cellular,10.255722,may,1069.489454,2,-1,0,unknown,yes
32.356534,admin.,married,secondary,2437.271822,no,no,cellular,3.537229,feb,111.329905,2.153837,-1,0,unknown,yes
37.880421,management,married,primary,904.999699,no,no,cellular,11.951663,oct,321.004398,2.148993,127.015216,2.349985,failure,yes
39.163025,blue-collar,single,secondary,-122.691699,yes,no,cellular,18.378974,may,1010.866961,1.246883,136.489619,5.180284,unknown,yes
42,technician,divorced,secondary,248,no,no,cellular,19,aug,163,4,-1,0,unknown,no
59,technician,divorced,secondary,879,yes,no,unknown,26,may,228,1,-1,0,unknown,no
31.690316,management,married,tertiary,101.195113,yes,no,cellular,8.044624,apr,437.33127,3.913003,455.467926,1.082803,failure,yes
40.543309,blue-collar,married,secondary,63.711672,no,no,cellular,5.39117,may,507.858187,4.371859,-1,0,unknown,yes
56,admin.,divorced,secondary,985,no,yes,cellular,18,aug,150,2,-1,0,unknown,no
45.684827,management,married,tertiary,1222.773994,no,no,cellular,27.69269,apr,376.113836,1.905539,49.11904,0.03117,success,yes
42.606176,admin.,divorced,secondary,18.188981,yes,no,cellular,10.492173,oct,238.450502,3,81.014779,0.971923,unknown,yes
48.059712,admin.,married,secondary,73.040367,no,no,cellular,13.80649,jul,1330.053824,1,-1,0,unknown,yes
55,retired,married,tertiary,197,no,yes,cellular,8,jul,256,1,-1,0,unknown,no
63.978955,admin.,married,secondary,4692.328375,no,no,cellular,26.270316,may,212.685836,1,43.132255,0.682481,unknown,yes
46.629398,management,married,secondary,2049.029781,no,no,cellular,6.099217,feb,470.380799,1.563271,1.784628,1.019236,success,yes
42,entrepreneur,married,primary,149,no,no,cellular,20,aug,94,2,-1,0,unknown,no
46,management,married,tertiary,273,yes,no,cellular,18,mar,910,2,184,4,success,yes
40,management,single,secondary,192,yes,no,unknown,16,may,71,11,-1,0,unknown,no
38,technician,married,secondary,740,no,no,cellular,7,aug,259,3,-1,0,unknown,no
44.718621,management,married,secondary,12.194023,no,no,cellular,12.086452,may,576.329996,2,-1,0,unknown,yes
39.450277,management,married,tertiary,5070.187977,no,no,cellular,26.801965,oct,275.593681,2.296337,-1,0,unknown,yes
36,technician,married,tertiary,6,yes,no,cellular,27,jan,100,1,435,1,failure,no
40,blue-collar,married,primary,-335,yes,no,unknown,27,may,260,1,-1,0,unknown,no
42,entrepreneur,married,tertiary,157,yes,yes,unknown,7,may,650,1,-1,0,unknown,no
35.258841,management,married,secondary,689.248497,yes,no,cellular,24.283324,may,625.41712,2.889745,-1,0,unknown,yes
37.161622,technician,married,secondary,7093.427147,no,no,cellular,10.539957,may,224.191469,2.162266,123.061746,0.571218,unknown,yes
43.877186,management,married,tertiary,5215.916879,no,no,cellular,17.267914,may,866.921985,5.011916,-1,0,unknown,yes
